CUST4434,Mouse,Automotive,483.15,2023/05/09,Bank Transfer
CUST6046,Headphones,Books,681.74,2022/05/01,PayPal
CUST5197,Gaming Console,Automotive,1665.82,2022/07/07,Debit Card
CUST8621,Smartwatch,Books,81.03,2022/12/25,Cash on Delivery
CUST8744,Keyboard,Groceries,1746.88,2023/01/05,Debit Card
CUST3745,Gaming Console,Sports,687.45,2023/04/30,Debit Card
CUST8554,Smartphone,Books,1354.01,2022/11/08,Credit Card
CUST7982,Smartphone,Toys,1297.03,2022/07/03,Bank Transfer
CUST3276,Smartphone,Beauty,763.84,2023/06/26,PayPal
CUST2942,Tablet,Furniture,591.35,2023/03/20,Bank Transfer
CUST4069,Gaming Console,Groceries,1086.26,2023/07/30,Cash on Delivery
CUST3634,Smartphone,Books,1916.97,2022/01/22,Credit Card
CUST6283,Camera,Furniture,1089.09,2022/12/10,Credit Card
CUST7932,Mouse,Electronics,1209.19,2022/10/04,PayPal
CUST5755,Gaming Console,Beauty,1511.83,2022/08/29,Bank Transfer
CUST8079,Monitor,Fashion,1416.4,2023/06/21,Debit Card
CUST1572,Smartphone,Sports,1849.51,2022/03/19,PayPal
CUST8487,Monitor,Sports,292.76,2022/02/26,PayPal
CUST5260,Mouse,Books,178.26,2022/10/19,PayPal
CUST4952,Monitor,Furniture,57.83,2023/07/25,Bank Transfer
CUST5612,Gaming Console,Home Appliances,560.84,2023/10/06,Cash on Delivery
CUST5879,Gaming Console,Furniture,1900.66,2022/12/19,Credit Card
CUST7252,Smartphone,Groceries,272.85,2023/10/27,PayPal
CUST6627,Headphones,Groceries,796.93,2023/12/20,Bank Transfer
CUST1271,Mouse,Electronics,719.88,2022/02/18,PayPal
CUST5679,Mouse,Furniture,680.95,2023/01/30,Cash on Delivery
CUST5352,Gaming Console,Beauty,887.03,2022/03/19,Bank Transfer
CUST6148,Smartphone,Electronics,443.26,2023/11/20,Bank Transfer
CUST4438,Gaming Console,Furniture,1258.92,2023/02/23,Bank Transfer
CUST2196,Keyboard,Fashion,120.77,2023/11/23,Credit Card
CUST8697,Gaming Console,Toys,1610.27,2022/04/16,Debit Card
CUST3964,Headphones,Furniture,1438.33,2022/08/19,Bank Transfer
CUST9553,Keyboard,Sports,1519.47,2023/12/09,Cash on Delivery
CUST7498,Camera,Electronics,1843.15,2023/08/05,Bank Transfer
CUST5052,Keyboard,Sports,1464.87,2023/04/24,Bank Transfer
CUST4479,Headphones,Automotive,1806.78,2022/09/12,Cash on Delivery
CUST9898,Tablet,Fashion,474.56,2022/06/07,Credit Card
CUST4251,Smartphone,Beauty,1729.84,2022/06/02,Debit Card
CUST9953,Smartwatch,Toys,645.81,2022/01/03,Credit Card
CUST2402,Keyboard,Fashion,442.28,2022/12/29,Bank Transfer
CUST2644,Mouse,Groceries,1652.85,2022/12/05,Credit Card
CUST1424,Smartwatch,Sports,963.21,2022/11/14,PayPal
CUST8482,Gaming Console,Furniture,150.55,2024/01/01,Cash on Delivery
CUST1573,Camera,Automotive,1246.56,2022/01/20,PayPal
CUST8009,Camera,Beauty,1876.91,2022/10/07,Bank Transfer
CUST2004,Tablet,Fashion,33.35,2023/01/24,PayPal
CUST9857,Headphones,Electronics,1357.66,2023/08/01,Debit Card
CUST5752,Headphones,Toys,1922.43,2022/05/15,Bank Transfer
CUST3941,Headphones,Fashion,1489.84,2023/02/28,Bank Transfer
CUST8017,Headphones,Sports,1479.43,2022/03/28,Bank Transfer
CUST8572,Monitor,Beauty,693.36,2022/11/04,Debit Card
CUST4705,Keyboard,Groceries,518.81,2022/05/06,Bank Transfer
CUST3808,Gaming Console,Books,1885.71,2023/08/26,Cash on Delivery
CUST2903,Camera,Beauty,584.67,2022/02/09,PayPal
CUST2808,Laptop,Beauty,141.5,2023/11/12,Bank Transfer
CUST2801,Camera,Books,457.33,2022/08/06,Cash on Delivery
CUST7354,Laptop,Books,1503.54,2022/04/06,Credit Card
CUST5303,Tablet,Sports,140.08,2023/01/14,Bank Transfer
CUST6928,Keyboard,Furniture,296.44,2022/11/29,PayPal
CUST6385,Headphones,Groceries,763,2022/05/10,PayPal
CUST1289,Monitor,Books,1027.37,2022/05/13,Debit Card
CUST5208,Monitor,Furniture,1930.54,2022/07/11,Debit Card
CUST7555,Mouse,Home Appliances,971.7,2022/05/15,PayPal
CUST2519,Monitor,Fashion,1011.21,2023/04/04,Credit Card
CUST4261,Monitor,Electronics,265.29,2022/02/04,Credit Card
CUST8394,Mouse,Books,770.17,2022/08/18,Credit Card
CUST2474,Mouse,Home Appliances,1358.28,2023/03/15,Bank Transfer
CUST4042,Camera,Books,111.75,2023/09/17,PayPal
CUST7500,Smartphone,Books,1819.93,2022/01/11,Credit Card
CUST4596,Gaming Console,Books,590,2023/01/11,Bank Transfer
